timestamp,x,y,z
1905218,0.0,0.427,-0.122
1906224,0.366,0.305,0.0
1907228,0.061,-0.061,0.183
1908234,-0.183,-0.671,0.427
1909238,0.183,0.183,-0.061
1910242,-1.099,-0.854,0.122
1911247,0.061,0.366,-0.061
1912251,-0.244,0.183,-0.061
1913254,-0.366,0.122,-0.122
1914258,0.061,0.244,0.061
1915263,-0.122,0.122,0.0
1916268,-0.122,0.244,-0.061
1917272,-0.061,0.122,0.0
1918277,-0.061,0.183,0.0
1919281,0.0,0.183,0.0
1920284,0.061,0.244,0.0
1921289,-0.122,0.183,0.0
1922293,-0.061,0.305,-0.061
1923297,0.061,0.244,0.061
1924302,0.0,0.244,-0.061
1925306,-0.061,0.244,0.0
1926310,-0.061,0.183,0.0
1927315,0.061,0.183,0.061
1928320,-0.122,0.183,0.0
1929324,-0.122,0.122,0.0
1930328,-0.122,-0.061,0.244
1931332,-0.061,0.244,-0.061
1932336,-0.061,0.183,0.0
1933340,-0.061,0.305,-0.061
1934344,0.0,0.244,-0.061
1935348,0.0,0.183,0.061
1936353,0.0,0.183,0.0
1937357,0.061,0.183,0.0
1938362,-1.099,0.183,-0.366
1939366,0.061,0.183,0.0
1940370,-0.183,0.183,0.0
1941374,-0.122,0.122,0.0
1942378,0.0,0.183,0.0
1943382,0.0,0.183,0.0
1944387,0.061,0.183,0.061
1945394,-0.488,0.305,-0.183
1946397,-0.183,0.0,0.122
1947401,-0.122,0.122,0.0
1948406,-0.061,0.183,-0.061
1949411,-0.061,0.183,-0.061
1950416,-0.122,0.122,0.0
1951420,-0.061,0.122,0.061
1952424,0.0,0.244,0.0
1953429,-0.061,0.061,0.122
1954435,-0.061,0.122,0.122
1955441,0.671,-1.038,1.221
1956445,0.305,-0.183,0.244
1957451,-0.244,0.366,-0.244
1958456,-0.061,-0.305,0.488
1959460,0.61,0.122,0.122
1960464,-1.648,0.0,-0.671
1961468,0.488,0.488,-0.122
1962474,-0.854,0.122,-0.305
1963480,-3.845,3.967,-3.723
1964485,-3.357,0.244,-1.099
1965489,-0.061,0.183,0.0
1966492,-0.061,0.183,-0.061
1967496,-0.061,0.122,0.0
1968502,-0.305,0.488,-0.671
1969509,1.404,0.366,0.549
1970515,-0.61,0.0,-0.061
1971520,1.587,2.625,-1.038
1972526,-0.61,-0.732,0.305
1973532,-0.427,0.305,-0.183
1974538,-0.122,0.183,0.0
1975542,-0.183,-0.061,-0.122
1976547,-0.122,0.183,0.0
1977551,0.061,0.244,0.0
1978555,-0.244,-0.061,-0.061
1979560,0.0,0.244,0.0
1980564,-0.061,0.122,0.0
1981571,-0.122,0.183,-0.061
1982576,-0.061,0.183,0.0
1983581,2.136,-1.465,2.38
1984585,-0.366,-0.122,0.061
